date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,15.31,92.8,7.2,Likely D,-0.99,3.1,15.15,-1.75,17.07,57.66,42.34,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.58,-0.53,42.8,-10.9,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-02,305,15.32,92.8,7.2,Likely D,-0.99,3.11,15.16,-1.75,17.08,57.66,42.34,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.59,-0.53,42.8,-10.9,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-03,304,15.32,92.8,7.2,Likely D,-0.99,3.11,15.16,-1.75,17.08,57.66,42.34,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.59,-0.53,42.8,-10.9,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-04,303,15.26,92.7,7.3,Likely D,-0.99,3.04,15.09,-1.75,17.02,57.63,42.37,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.52,-0.53,43.0,-10.6,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-05,302,15.29,92.8,7.2,Likely D,-0.99,3.07,15.12,-1.75,17.04,57.64,42.36,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.55,-0.53,42.9,-10.7,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-06,301,15.3,92.8,7.2,Likely D,-0.99,3.08,15.13,-1.75,17.05,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.56,-0.53,42.9,-10.7,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-07,300,15.3,92.8,7.2,Likely D,-0.99,3.08,15.13,-1.75,17.05,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.56,-0.53,42.9,-10.8,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-08,299,15.3,92.8,7.2,Likely D,-0.99,3.08,15.13,-1.75,17.05,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.56,-0.53,43.0,-10.8,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-09,298,15.31,92.8,7.2,Likely D,-0.99,3.09,15.14,-1.75,17.06,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.57,-0.53,42.9,-10.7,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-10,297,15.31,92.8,7.2,Likely D,-0.99,3.09,15.14,-1.75,17.06,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.57,-0.53,42.9,-10.7,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-11,296,15.27,92.8,7.2,Likely D,-0.99,3.05,15.1,-1.75,17.02,57.64,42.36,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.53,-0.53,42.9,-10.9,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-12,295,15.31,92.8,7.2,Likely D,-0.99,3.1,15.15,-1.75,17.07,57.66,42.34,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.58,-0.53,42.8,-11.0,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-13,294,15.31,92.8,7.2,Likely D,-0.99,3.09,15.14,-1.75,17.06,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.57,-0.53,42.7,-11.2,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-14,293,15.31,92.8,7.2,Likely D,-0.99,3.09,15.14,-1.75,17.06,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.57,-0.53,42.8,-11.2,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-15,292,15.32,92.8,7.2,Likely D,-0.99,3.11,15.16,-1.75,17.08,57.66,42.34,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.59,-0.53,42.8,-11.1,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-16,291,15.32,92.8,7.2,Likely D,-0.99,3.11,15.16,-1.75,17.08,57.66,42.34,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.59,-0.53,42.7,-11.3,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-17,290,15.36,92.9,7.1,Likely D,-0.99,3.15,15.2,-1.75,17.11,57.68,42.32,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.63,-0.53,42.7,-11.3,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-18,289,15.3,92.8,7.2,Likely D,-0.99,3.08,15.13,-1.75,17.05,57.65,42.35,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.56,-0.53,42.7,-11.3,50.1,96.1,68.1,70.1,63.1,63.1,64.8,61.8,56.8,53.8,53.8,54.8,54.8,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-19,288,15.33,92.8,7.2,Likely D,-0.99,3.12,15.17,-1.75,17.08,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.6,-0.53,42.7,-11.2,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-20,287,15.39,92.9,7.1,Likely D,-0.99,3.19,15.24,-1.75,17.14,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.67,-0.53,42.6,-11.4,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-21,286,15.39,92.9,7.1,Likely D,-0.99,3.19,15.24,-1.75,17.14,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.67,-0.53,42.6,-11.4,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-22,285,15.41,92.9,7.1,Likely D,-0.99,3.21,15.26,-1.75,17.16,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.69,-0.53,42.6,-11.5,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-23,284,15.41,92.9,7.1,Likely D,-0.99,3.21,15.26,-1.75,17.16,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.69,-0.53,42.6,-11.5,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-24,283,15.42,93.0,7.0,Likely D,-0.99,3.22,15.27,-1.75,17.17,57.71,42.29,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.7,-0.53,42.6,-11.5,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-25,282,15.36,92.9,7.1,Likely D,-0.99,3.15,15.2,-1.75,17.11,57.68,42.32,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.63,-0.53,42.6,-11.5,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-01-26,281,15.39,92.9,7.1,Likely D,-0.99,3.19,15.24,-1.75,17.14,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.67,-0.53,42.5,-11.8,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-27,280,15.39,92.9,7.1,Likely D,-0.99,3.19,15.24,-1.75,17.14,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.67,-0.53,42.5,-11.8,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-28,279,15.42,93.0,7.0,Likely D,-0.99,3.22,15.27,-1.75,17.17,57.71,42.29,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.7,-0.53,42.5,-11.8,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-29,278,15.41,92.9,7.1,Likely D,-0.99,3.21,15.26,-1.75,17.16,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.69,-0.53,42.5,-11.7,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-30,277,15.42,93.0,7.0,Likely D,-0.99,3.22,15.27,-1.75,17.17,57.71,42.29,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.7,-0.53,42.5,-11.8,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-01-31,276,15.42,93.0,7.0,Likely D,-0.99,3.22,15.27,-1.75,17.17,57.71,42.29,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.7,-0.53,42.5,-11.8,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-01,275,15.34,92.9,7.1,Likely D,-0.99,3.13,15.18,-1.75,17.09,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.61,-0.53,42.6,-11.7,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-02,274,15.34,92.9,7.1,Likely D,-0.99,3.13,15.18,-1.75,17.09,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.61,-0.53,42.4,-11.8,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-03,273,15.34,92.9,7.1,Likely D,-0.99,3.13,15.18,-1.75,17.09,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.61,-0.53,42.4,-11.8,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-04,272,15.35,92.9,7.1,Likely D,-0.99,3.14,15.19,-1.75,17.1,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.62,-0.53,42.4,-11.8,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-05,271,15.35,92.9,7.1,Likely D,-0.99,3.14,15.19,-1.75,17.1,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.62,-0.53,42.5,-11.8,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-06,270,15.35,92.9,7.1,Likely D,-0.99,3.14,15.19,-1.75,17.1,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.62,-0.53,42.4,-11.8,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-07,269,15.35,92.9,7.1,Likely D,-0.99,3.14,15.19,-1.75,17.1,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.62,-0.53,42.4,-11.8,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-08,268,15.34,92.9,7.1,Likely D,-0.99,3.13,15.18,-1.75,17.09,57.67,42.33,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.61,-0.53,42.3,-12.2,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.8,52.8,54.8,55.8,61.8,67.8,65.8,69.8,62.6,61.6,61.6,60.6,59.6,58.6,57.6,56.6,56.6,55.6,55.6,55.6,56.6,56.6,57.6,58.6
2026-02-09,267,15.37,92.9,7.1,Likely D,-0.99,3.17,15.22,-1.75,17.13,57.69,42.31,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.65,-0.53,42.3,-12.1,50.1,96.1,68.1,70.1,63.1,63.1,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-10,266,15.4,92.9,7.1,Likely D,-0.99,3.2,15.25,-1.75,17.15,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.68,-0.53,42.2,-12.2,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-11,265,15.4,92.9,7.1,Likely D,-0.99,3.2,15.25,-1.75,17.15,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.68,-0.53,42.2,-12.2,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-12,264,15.39,92.9,7.1,Likely D,-0.99,3.19,15.24,-1.75,17.14,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.67,-0.53,42.2,-12.2,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-13,263,15.39,92.9,7.1,Likely D,-0.99,3.19,15.24,-1.75,17.14,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.67,-0.53,42.3,-12.2,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-14,262,15.4,92.9,7.1,Likely D,-0.99,3.2,15.25,-1.75,17.15,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.68,-0.53,42.3,-12.2,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-15,261,15.4,92.9,7.1,Likely D,-0.99,3.2,15.25,-1.75,17.15,57.7,42.3,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.68,-0.53,42.3,-12.2,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-16,260,15.42,93.0,7.0,Likely D,-0.99,3.23,15.28,-1.75,17.18,57.71,42.29,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.71,-0.53,42.2,-12.3,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-17,259,15.42,93.0,7.0,Likely D,-0.99,3.22,15.27,-1.75,17.17,57.71,42.29,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.7,-0.53,42.2,-12.4,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
2026-02-18,258,15.42,93.0,7.0,Likely D,-0.99,3.23,15.28,-1.75,17.18,57.71,42.29,0.0,False,False,,,,0.0,0.0,0.0,54.87,38.61,2,16.26,0.15,34960533,2545436,0,1.71,-0.53,42.2,-12.4,50.2,96.2,68.2,70.2,63.2,63.2,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.9,52.9,54.9,55.9,61.9,67.9,65.9,69.9,62.7,61.7,61.7,60.7,59.7,58.7,57.7,56.7,56.7,55.7,55.7,55.7,56.7,56.7,57.7,58.7
